x_coord,y_coord,Brightness,Total_Pixel_Count,Pixel_Std,Eccentricity,Area,Error
2054,128,14.274548464337919,135,9536.980395372973,0.33677072334330127,135,0.28393450351162053
2141,123,15.797576463255053,19,1158.4448453999848,0.8452135506139343,19,0.27798552433688184
1178,132,18.051947434805445,209,4304.707070716394,0.24898342998717435,209,0.10619724294391375
37,128,17.60162991784747,43,2709.0677610806556,0.5066284756117478,43,0.3180227169243048
1813,130,18.523340404920265,155,8466.336940274956,0.7619757351272677,155,0.2847896669822781
1022,127,15.157248492570845,25,773.0459236035075,0.6159903175687326,25,0.13526405956972354
2219,128,15.368148257552152,69,3378.103254861239,0.598202595518892,69,0.2149190114549651
1600,131,16.85618584778024,46,2953.1254469598884,0.4657929410734419,46,0.30978120074034293
1857,130,16.24086508482336,26,1304.730809480293,0.5304988805557769,26,0.23485682514582218
1797,131,18.513851800984348,52,2041.806942812169,0.7503432561902185,52,0.20863828916314126
391,132,18.594262652731295,15,773.2758599332813,0.7280416324592375,15,0.27672769765807825
515,137,16.516745045749236,164,1662.019634456303,0.5450839828386156,164,0.04818671886530597
29,133,13.489232140789136,10,747.5961476626268,0.44857698529495516,10,0.2908626224620243
1238,136,18.359869333915896,109,5619.570933500474,0.44665080888979225,109,0.26957327445435975
1214,138,17.022048694492383,38,921.8492795369672,0.5548353581581319,38,0.11905738486540954
1753,142,17.386027051650252,155,7162.165014875892,0.5676491656113472,155,0.22714007222898916
840,144,18.617880038058352,132,3289.1716491756774,0.4800517832350535,132,0.13291789994038694
989,153,16.001324092954114,507,39761.26083427377,0.43217230374568255,507,0.33926409881220915
1332,144,18.73223076570303,96,4935.523404467014,0.6499700981746338,96,0.2746022595929214
747,142,15.065614463095983,26,883.5779870343067,0.7991948269885096,26,0.1477135011955135
2292,142,19.048552619022058,10,522.398315464359,0.9053146159440332,10,0.2874413414659963
677,147,16.483809258781882,125,3527.521600217354,0.5275910412333318,125,0.1330954198484165
1668,158,18.881438304332168,765,297927.6556909892,0.31750351933166554,765,1.6073308200557033
1828,150,18.135991000538507,131,7732.872806039934,0.576991135589666,131,0.3031357110220196
717,148,16.325872709213016,19,1019.5865763649504,0.7873683765795657,19,0.25256256030097674
557,163,19.265871971014327,403,25749.127849037017,0.45053564852412087,403,0.34009161842948527
428,155,18.78894584959329,74,2736.044341991563,0.7451841802499515,74,0.19939719714121648
497,163,14.717611218126253,404,34027.71858330513,0.6005978045853313,404,0.3375306626099469
2176,154,17.340790308829583,17,1259.345686097914,0.6042705390626721,17,0.37045665692298513
303,159,18.184461717639927,60,1320.3650589472932,0.3301239519642072,60,0.1153983546701549
739,158,17.243922937722157,29,894.320831859163,0.6499583949077312,29,0.15347776700250776
909,158,16.139044983140693,10,454.31266766402183,0.791648733724394,10,0.21194925651385488
2165,159,18.12608512114737,11,1226.4980720168935,0.7342900217900508,11,0.5813401091548911
1958,173,15.917138394530541,431,6994.600167321341,0.6823066588676695,431,0.07342678188730307
853,166,17.20933829787622,123,3741.132154805867,0.816067529719602,123,0.14973837203201365
1279,163,14.660906919902322,18,811.1872110419547,0.8108464293289217,18,0.1907599800414035
1133,166,18.6460481135953,16,454.44849818213726,0.7605479447001217,16,0.15296811196417107
1354,167,18.09788132298089,18,709.6338823038119,0.7435832496551136,18,0.20594063347391964
523,175,18.62874400907659,165,5872.850985343612,0.5183865006326429,165,0.18882329177770613
911,171,13.818901124839059,81,2723.0331089806427,0.7143280970257804,81,0.1331450655924287
780,178,18.09752313281227,93,1973.6927469373788,0.4318037353093918,93,0.1104851036980903
721,183,18.12460105887467,92,2077.0348393822287,0.6130268551644865,92,0.11750536204533082
2296,181,15.919610953372919,18,1422.1354140174099,0.4293941313105385,18,0.3613701917664979
748,181,16.155085555220957,27,775.5523718495622,0.7718798673246139,27,0.1340126954154817
2233,184,18.04489673551637,63,3921.104656649075,0.6597865381060856,63,0.32013649846792996
1583,188,15.347522180053904,214,39439.59288343473,0.49923497914772513,214,0.7595883773456329
1865,187,15.849895847278447,25,1017.8880095570437,0.4921783074901668,25,0.18621642853797074
1989,189,17.785886717560597,70,2168.5079042079246,0.6167597309146765,70,0.15817336820761607
604,193,16.92989619217527,26,841.3939546860606,0.6114871440780841,26,0.15807610788186865
1656,195,19.021668063087766,20,821.2794895770866,0.692071854359498,20,0.22532966735550972
66,197,18.31462414392727,10,1010.7423014794622,0.7878178923244629,10,0.5338995546251838
969,199,17.817997510676364,57,1957.5567211207567,0.7835078941073547,57,0.17583616456500606
402,198,16.8675026642261,13,546.0996722861184,0.8928449663979868,13,0.20471913939813544
993,208,16.86440019388394,210,6946.794379726164,0.8284260324415246,210,0.15861328965358734
646,207,15.000169959475027,39,610.9562890369007,0.4727850438333743,39,0.06786620091799772
1512,210,17.220914861149303,60,40630.73750937282,0.9684429730404609,60,1.6830153181779397
49,219,17.49248584393058,759,12259.928846548359,0.8857313268230941,759,0.08015584093410842
2067,208,16.739880220238746,62,4656.765300003127,0.6709635054702882,62,0.35803246865729943
1196,213,17.20145569618078,11,606.7117713986758,0.7736144074963673,11,0.27419998570888
528,214,11.988349515770345,30,860.7554821202127,0.8105582055751335,30,0.09923773662302994
564,217,16.641011122522208,63,2018.2325898161785,0.6836581722437429,63,0.15334692887719542
1047,215,16.994915956596977,11,499.75200461399095,0.8495964750374109,11,0.22312474235007596
254,218,13.422572312267851,22,928.9201052746522,0.5724608451476246,22,0.1633627336796877
642,225,17.316955631469817,245,5825.897116996309,0.6125991652942888,245,0.1171715363540983
90,222,18.380191078121335,10,1081.480466767662,0.772103402583481,10,0.5732111894124654
99,230,16.127941245595668,118,2521.702411238776,0.6846060170356432,118,0.09895489551510706
1131,228,18.87586758942622,50,2081.3495621831526,0.766906584867062,50,0.22577079282747034
1828,229,14.555944323617815,72,1763.5449139673894,0.9417083259302699,72,0.10260349890245572
2078,228,16.05601186448409,21,1519.5923788083524,0.7932292259935373,21,0.33438762781232795
1088,233,16.194119869443455,58,2535.8148036070434,0.6714101165756838,58,0.2032552732472192
1401,235,17.140840221131015,76,2695.8532329746017,0.8403369423897101,76,0.17451522937782638
1414,232,15.434293974414421,37,1165.7769051363584,0.6736439716980187,37,0.14016907485204486
42,239,18.478166194613802,94,7189.838111446558,0.3334267574925543,94,0.4007826007369105
444,237,10.414713632831614,59,1666.1473863072836,0.7739360426139908,59,0.08466591152309433
900,243,15.942517344002255,198,13447.055389303474,0.34760640795398673,198,0.30263405766640733
454,239,17.50501938524978,25,682.8879849580017,0.687892715947429,25,0.13791394965958653
880,241,17.882530343139518,38,1082.522958499574,0.7566554092641649,38,0.14690046633363532
166,241,14.154006608588412,13,988.8131670290101,0.8382865745691109,13,0.31029083473645597
756,251,14.295276067092205,297,18985.4054967314,0.37577356057811384,297,0.25324921554932095
1500,244,16.09683304160382,31,1170.083199190594,0.6219823908012521,31,0.17520100743380798
1853,246,18.97641906143238,30,751.7682858138908,0.6357947841638103,30,0.1372034895427701
1260,254,16.549806724620737,150,3666.118504479757,0.3604449174703807,150,0.1157808263497983
1646,253,19.15169279073207,96,5197.1129138098295,0.47852551546099537,96,0.2948581896293214
2068,250,13.41655240323467,26,1740.5407919726301,0.5809747131251702,26,0.2584535847782405
1557,257,17.41597290548442,158,6009.685740926456,0.725336437867823,158,0.18792580256335664
