x_coord,y_coord,Brightness,Total_Pixel_Count,Eccentricity,Area
217,564,3887.3255813953583,63,0.6836581722437429,63
215,1047,259.209677419356,11,0.8495964750374109,11
218,254,402.1811023622031,22,0.5724608451476246,22
225,642,17098.40157480311,245,0.6125991652942888,245
222,90,-5633.388235294115,10,0.772103402583481,10
230,99,-2871.3828125,118,0.6846060170356432,118
228,1131,1526.4545454545441,50,0.766906584867062,50
229,1828,-57937.7356321839,72,0.9417083259302699,72
228,2078,701.8031496062977,21,0.7932292259935373,21
233,1088,1668.9019607843074,58,0.6714101165756838,58
235,1401,4617.2352941176505,76,0.8403369423897101,76
232,1414,740.569721115542,37,0.6736439716980187,37
239,42,5664.279069767435,94,0.3334267574925543,94
237,444,1722.9182879377477,59,0.7739360426139908,59
243,900,18015.123015873018,198,0.34760640795398673,198
239,454,458.75494071146386,25,0.687892715947429,25
241,880,760.0592885375518,38,0.7566554092641649,38
241,166,466.125,13,0.8382865745691109,13
251,756,39123.666666666686,297,0.37577356057811384,297
244,1500,760.3100775193816,31,0.6219823908012521,31
246,1853,741.5826771653519,30,0.6357947841638103,30
254,1260,5651.394422310754,150,0.3604449174703807,150
253,1646,4549.52208835342,96,0.47852551546099537,96
250,2068,798.0705882352959,26,0.5809747131251702,26
257,1557,9571.745173745177,158,0.725336437867823,158
257,138,6026.173913043487,97,0.5700641810632311,97
252,789,-2749.4705882352937,15,0.8408014099484599,15
253,1113,-2640.503937007874,16,0.7650743509411324,16
253,1534,1013.0836653386432,34,0.7635322267377496,34
261,2258,2228.648221343872,49,0.5713075326121922,49
257,1606,324.58823529411893,13,0.8676078684905028,13
262,376,622.5157480314956,30,0.39795856325311074,30
265,942,983.5603112840472,46,0.6852060396511651,46
267,1574,2360.4724409448827,55,0.7909403941174924,55
269,511,-5798.889763779531,44,0.8501752343265153,44
270,1082,2367.2270916334674,66,0.6000246704379443,66
274,372,13180.503968253965,183,0.6678928906877467,183
271,417,1704.6454183266906,57,0.772339139961345,57
270,4,-3121.5192307692305,14,0.15761594817651928,14
272,1867,1327.411764705881,50,0.5836910845710809,50
275,1114,2654.8984375,73,0.672856874630523,73
279,428,1735.4724409448827,72,0.6915417998356355,72
292,2210,211183.60231660225,609,0.5751836239622573,609
283,2180,2908.0076923076995,65,0.6251466411356873,65
286,703,2099.1023622047214,53,0.7485561033412762,53
288,1260,56360.01176470588,109,0.7972359679883945,109
288,1839,1560.3346303501967,34,0.6584062711191986,34
290,593,586.0350194552593,38,0.4060053388715849,38
297,217,4664.697674418596,87,0.4806226247959229,87
302,905,-99433.70634920639,121,0.9138197189286528,121
301,205,371.2384615384617,25,0.5986986603407696,25
306,752,19843.682539682544,209,0.5649221714072915,209
302,1994,4984.197628458496,77,0.7525045305491914,77
309,897,-4700.893700787397,29,0.5630078974567082,29
307,1486,4388.86328125,21,0.8718545513735185,21
313,1505,1835.1176470588252,47,0.7241817106861103,47
318,2097,8836.543307086613,113,0.5082891512474876,113
318,1804,535.4680000000008,20,0.5632872514939379,20
335,1464,899734.8588235294,1056,0.7519679469721484,1056
323,984,5533.412698412692,116,0.6164711827280682,116
320,2188,1312.1764705882379,36,0.5634312262661777,36
322,2223,926.8039215686294,22,0.8026374594504334,22
335,1668,28734.08396946569,420,0.8459169177705019,420
331,2259,25228.39215686274,157,0.47819071870553165,157
330,25,4800.2823529411835,85,0.6287249910466406,85
328,441,338.4015748031452,12,0.7453559924999299,12
332,940,3162.8406374501938,94,0.6331774848079265,94
328,1185,287.9538461538468,12,0.8755989883658383,12
340,1982,56673.370078740176,409,0.5609901489390493,409
335,972,1424.3307086614222,77,0.7361067333219949,77
334,632,561.9397590361477,24,0.850962682554104,24
334,1924,476.1388888888905,17,0.7174133158328229,17
340,138,11203.685039370059,155,0.1566828316988698,155
336,2297,400.1126126126146,13,0.758170698004264,13
339,1580,546.5196850393695,24,0.5923247486440112,24
342,1002,843.6166007905122,31,0.5631317418895447,31
342,918,512.9803149606305,24,0.836530270267832,24
