Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
3649,-3155.798418972332,nan,8.0,"(3289.125, 90.375)",0.8537954490857292
3650,9717.458167330675,15.331118300715643,38.0,"(3292.0526315789475, 924.3421052631579)",0.6192240541251789
3651,4925.552123552123,16.068862701863964,8.0,"(3288.25, 1571.625)",0.747102836415358
3652,7054.492063492056,15.678835626979597,76.0,"(3291.6315789473683, 2133.065789473684)",0.6424538978550461
3653,4774.878048780491,16.102594289738825,25.0,"(3290.0, 2298.24)",0.7603708486426249
3654,4221.720472440945,16.236276313700294,9.0,"(3290.6666666666665, 990.1111111111111)",0.5342048197273573
3655,1302.628458498024,17.51294859508846,11.0,"(3290.090909090909, 2066.3636363636365)",0.876435291764713
3656,-282205.4166666666,nan,334.0,"(3302.122754491018, 809.4251497005988)",0.913222123735727
3657,16946.152671755728,14.727322213133597,157.0,"(3296.955414012739, 1890.0891719745223)",0.5677226517055645
3658,434.3385826771664,18.7054289754113,9.0,"(3292.1111111111113, 51.666666666666664)",0.6945875203623408
3659,262.49253731343197,19.25220759778475,8.0,"(3292.5, 301.5)",0.0
3660,2307.8685258964106,16.891972338990136,43.0,"(3294.2558139534885, 600.0930232558139)",0.6776608145226399
3661,-20090.90039840639,nan,96.0,"(3300.0833333333335, 1580.6875)",0.378338921970064
3662,331.0894941634233,19.000136499186283,12.0,"(3293.4166666666665, 1972.25)",0.6461621652955032
3663,1565.1280000000006,17.31362534749752,9.0,"(3294.5555555555557, 973.0)",0.8382157334209792
3664,3693.0650406504064,16.381532609191783,8.0,"(3294.5, 1016.0)",0.816496580927726
3665,784.19140625,18.063944803325484,10.0,"(3294.8, 1595.7)",0.8566172835096215
3666,-308.796875,nan,10.0,"(3295.2, 989.3)",0.9034001577989087
3667,-34125.37698412699,nan,18.0,"(3299.1111111111113, 984.5555555555555)",0.9190191147640455
3668,15682.223938223935,14.811480872048108,160.0,"(3304.45625, 1708.54375)",0.2802668033364042
3669,10305.568093385213,15.267320156965178,101.0,"(3302.732673267327, 2180.5742574257424)",0.34528949070647286
3670,1025.6666666666642,17.772484396180513,31.0,"(3305.1290322580644, 112.29032258064517)",0.8014162194569372
3671,2925.7795275590615,16.634396008216488,76.0,"(3308.1052631578946, 361.35526315789474)",0.5287912556779849
3672,6627.674418604642,15.746597085603243,91.0,"(3307.131868131868, 768.9120879120879)",0.7831380623595974
3673,2707.1463414634163,16.718720666842493,8.0,"(3305.0, 1654.5)",0.9325316965091067
3674,901.3690476190477,17.912743398442306,8.0,"(3303.875, 2294.75)",0.8843384945005575
3675,-60239.30350194557,nan,192.0,"(3314.3229166666665, 2033.7552083333333)",0.8898196856450504
3676,-101106.92885375489,nan,218.0,"(3312.6284403669724, 530.5871559633027)",0.8862534644608698
3677,-3593.873015873014,nan,9.0,"(3306.1111111111113, 974.4444444444445)",0.9416148704771851
3678,-14759.0234375,nan,16.0,"(3308.8125, 1588.3125)",0.8668768665546961
3679,3343.700787401569,16.489431481337935,29.0,"(3310.8275862068967, 901.2413793103449)",0.7331516987823877
3680,-2268.717647058824,nan,16.0,"(3312.625, 634.3125)",0.8245461291849501
3681,1494.1578947368398,17.364008765355102,53.0,"(3315.0377358490564, 405.0188679245283)",0.4100908926091428
3682,656.63671875,18.2566870885711,26.0,"(3314.846153846154, 453.9230769230769)",0.461204873116728
3683,-5174.370078740158,nan,11.0,"(3314.4545454545455, 781.8181818181819)",0.8148372286859653
3684,-7146.325581395347,nan,9.0,"(3315.0, 1620.888888888889)",0.7906969229158958
3685,-2096.3725490196084,nan,31.0,"(3315.516129032258, 1629.8387096774193)",0.58409835600023
3686,208.8685258964142,19.50031749578094,10.0,"(3314.9, 189.8)",0.6546536707079772
3687,-2211.287401574802,nan,11.0,"(3316.0, 956.8181818181819)",0.9197187527353626
3688,285.85770750988377,19.159625233795825,16.0,"(3316.0625, 1967.1875)",0.33187951378992886
3689,868.1627906976755,17.953497079706132,11.0,"(3317.7272727272725, 674.7272727272727)",0.7271095999859173
3690,10030.904761904763,15.296649732408737,56.0,"(3319.660714285714, 889.4821428571429)",0.6969661054281521
3691,21319.44488188975,14.478060269267363,84.0,"(3323.1785714285716, 910.7857142857143)",0.44120620019712375
3692,-2129.984435797669,nan,19.0,"(3318.0526315789475, 1767.157894736842)",0.852966328942465
3693,3223.3891050583698,16.529218165803478,28.0,"(3319.75, 718.3214285714286)",0.792051950239356
3694,501.77165354330646,18.548734692036632,29.0,"(3320.344827586207, 470.86206896551727)",0.717665482326079
3695,-5167.611764705882,nan,10.0,"(3318.6, 1669.1)",0.7484514619538956
3696,754.1511627906984,18.106353987493875,14.0,"(3319.1428571428573, 1758.0)",0.7954534783334827
3697,2739.40625,16.705858894310047,10.0,"(3319.4, 931.2)",0.5093759074726717
3698,-8389.76470588235,nan,24.0,"(3320.375, 986.1666666666666)",0.7479038773427377
3699,-8435.396761133597,nan,52.0,"(3323.480769230769, 423.9807692307692)",0.7760002689777828
3700,-2096.6889763779545,nan,30.0,"(3322.0666666666666, 787.1666666666666)",0.7662509805835409
3701,-31749.01587301586,nan,83.0,"(3331.9156626506024, 966.4096385542168)",0.6429527250606654
3702,827.5875486381337,18.005465130197095,9.0,"(3322.222222222222, 2266.6666666666665)",0.8849741162911976
3703,-42317.825396825385,nan,121.0,"(3329.8595041322315, 270.8099173553719)",0.6805516427330335
3704,1239.5279999999984,17.566859146003722,33.0,"(3324.4242424242425, 1872.0)",0.6969649339450038
3705,-6455.34251968504,nan,26.0,"(3328.1923076923076, 305.15384615384613)",0.4840306619302805
3706,755.629921259846,18.104227133291737,32.0,"(3329.34375, 644.125)",0.3873896164214387
3707,-12663.67716535434,nan,127.0,"(3332.7244094488187, 341.8267716535433)",0.8512254877911746
3708,-16068.003891050583,nan,24.0,"(3330.75, 974.7083333333334)",0.7866801365157688
3709,7790.654901960792,15.57106508227787,68.0,"(3334.176470588235, 1805.7205882352941)",0.7484415029878639
3710,9275.352272727265,15.381673967841241,140.0,"(3338.0, 100.97857142857143)",0.6345088105538712
3711,-19211.16015625,nan,11.0,"(3333.7272727272725, 1592.6363636363637)",0.9413556821785337
3712,1443.9723320158118,17.40110282053087,22.0,"(3334.8636363636365, 1793.1818181818182)",0.5176807301157301
3713,43462.513944223116,13.704712892431296,334.0,"(3341.3323353293413, 2071.9221556886228)",0.7199167560289615
3714,-12341.362204724399,nan,36.0,"(3337.1111111111113, 2212.3333333333335)",0.891345714814067
3715,274.4761904761908,19.20373830647992,8.0,"(3334.875, 630.25)",0.7884053195431427
3716,34062.88372093023,13.969296469979845,216.0,"(3341.7685185185187, 878.6805555555555)",0.5879966416254397
3717,672.06640625,18.231469531490916,8.0,"(3335.75, 845.25)",0.7384255845247096
3718,1849.282945736435,17.1324915885557,16.0,"(3336.25, 1645.4375)",0.7681604996647335
3719,2343.6117647058854,16.87528582635619,85.0,"(3339.5529411764705, 1711.6235294117646)",0.3233510263209549
3720,19958.105263157893,14.549701727863855,186.0,"(3345.521505376344, 442.97849462365593)",0.6408093566123839
3721,-12251.9921875,nan,14.0,"(3337.5, 957.2142857142857)",0.9578274479274664
3722,909.83266932271,17.90259618258179,15.0,"(3339.0666666666666, 366.26666666666665)",0.7343887778710586
3723,320.72799999999916,19.034657809762045,23.0,"(3339.0434782608695, 1989.2608695652175)",0.5108096500017411
3724,14102.426877470338,14.926765358645397,148.0,"(3344.6216216216217, 717.0878378378378)",0.7240398758057632
3725,-16581.87747035573,nan,8.0,"(3343.125, 124.375)",0.9654222746304915
3726,5894.314960629912,15.873916653736028,75.0,"(3345.72, 2262.16)",0.45379836703447457
3727,1183.7098039215707,17.61688688846471,18.0,"(3343.3333333333335, 24.166666666666668)",0.6989295601575878
3728,-5930.39534883721,nan,10.0,"(3343.9, 1598.1)",0.8766548933449889
3729,189.02400000000034,19.608707627055782,8.0,"(3344.0, 405.75)",0.7950972173652757
3730,4380.321428571435,16.19623504934875,69.0,"(3347.1014492753625, 528.6666666666666)",0.7094560110315887
3731,-2324.6796875,nan,26.0,"(3346.8076923076924, 1687.2692307692307)",0.6285354336366944
3732,-16125.95703125,nan,11.0,"(3344.6363636363635, 971.1818181818181)",0.9697802141266648
3733,-6497.980237154152,nan,12.0,"(3346.25, 1797.1666666666667)",0.8036491299218981
3734,21001.592000000004,14.494369457140289,203.0,"(3355.039408866995, 136.3152709359606)",0.5927194170150363
3735,-6306.492063492064,nan,28.0,"(3349.9285714285716, 741.5714285714286)",0.7379081945225598
3736,1218.15175097276,17.585746515495757,29.0,"(3352.6206896551726, 360.17241379310343)",0.6600840665046457
3737,-192530.81060606067,nan,197.0,"(3361.02538071066, 1713.030456852792)",0.915408627999494
3738,-5012.077205882353,nan,11.0,"(3354.0, 748.0)",0.8784003785322517
3739,-9894.885826771653,nan,9.0,"(3352.1111111111113, 956.6666666666666)",0.9553190655590431
3740,2550.5669291338563,16.783408189279115,47.0,"(3355.3617021276596, 1660.1702127659576)",0.6214483098131901
3741,-13664.256916996048,nan,12.0,"(3354.5833333333335, 929.5833333333334)",0.9247788679971509
3742,2355.215384615385,16.869923426143785,28.0,"(3356.9285714285716, 756.9285714285714)",0.6478535888141057
3743,-870.4235294117643,nan,9.0,"(3356.777777777778, 954.5555555555555)",0.8521653683186649
3744,585.4884615384617,18.381204148317444,22.0,"(3359.0, 2136.1363636363635)",0.6043633277395432
3745,-2797.751937984496,nan,11.0,"(3357.2727272727275, 2245.7272727272725)",0.4931793733863047
3746,-2181.68359375,nan,12.0,"(3358.75, 987.25)",0.9284010275450736
3747,642.8976377952749,18.279645424919504,19.0,"(3361.6315789473683, 220.6315789473684)",0.6964366740096978
3748,-12223.12355212355,nan,18.0,"(3361.0555555555557, 830.8888888888889)",0.750373107240719
3749,638.802371541502,18.286583700551652,9.0,"(3360.6666666666665, 2227.5555555555557)",0.9229099348869616
3750,855.2723735408581,17.969738890114655,23.0,"(3361.7391304347825, 1761.695652173913)",0.6945170016978794
3751,2696.8203125,16.722869973401927,31.0,"(3363.3225806451615, 2234.7419354838707)",0.7480326854731477
3752,-3146.5546875,nan,15.0,"(3363.133333333333, 181.66666666666666)",0.5857591446543435
3753,-28806.531746031746,nan,23.0,"(3362.782608695652, 963.9130434782609)",0.8871965637409007
3754,1384.6141732283431,17.446678067909687,47.0,"(3364.723404255319, 2148.1702127659573)",0.7663768679671299
3755,1163.8446215139447,17.63526249020189,17.0,"(3364.1176470588234, 803.7647058823529)",0.8309695419677624
3756,-400.0849420849445,nan,19.0,"(3371.8947368421054, 977.0526315789474)",0.7889307162269409
3757,-2586.4047619047633,nan,8.0,"(3370.75, 1752.875)",0.9009737787332339
3758,16722.231372549024,14.741764429663721,155.0,"(3375.5354838709677, 2159.3290322580647)",0.38248108300731526
3759,5648.624505928856,15.920143235412324,36.0,"(3373.1111111111113, 1578.4166666666667)",0.6096337599021285
3760,-1613.5945945945932,nan,40.0,"(3373.625, 1690.25)",0.5391472344746158
3761,4116.353846153848,16.26371824972366,48.0,"(3374.5, 2266.5625)",0.539792259067925
3762,276.28346456692816,19.196612766556278,12.0,"(3372.9166666666665, 993.1666666666666)",0.7911789857420557
3763,8096.831999999995,15.529212179359845,115.0,"(3378.8695652173915, 2023.7391304347825)",0.30587906897369826
3764,-6369.034615384615,nan,12.0,"(3375.0833333333335, 296.9166666666667)",0.8800158342499118
3765,990.3937007873974,17.810480326408573,42.0,"(3375.690476190476, 315.45238095238096)",0.5952253985832825
3766,1127.2086614173313,17.669989206969735,88.0,"(3378.125, 784.3977272727273)",0.639548018266656
3767,-5711.929133858266,nan,16.0,"(3377.1875, 940.0)",0.6914806771415821
3768,926.4470588235272,17.882948482734616,48.0,"(3377.6458333333335, 1852.7291666666667)",0.7341787019184051
3769,8456.376,15.48203928755609,25.0,"(3378.44, 1108.96)",0.4023494445976586
3770,-5681.35546875,nan,17.0,"(3378.0, 2240.823529411765)",0.6818988153661504
3771,11981.544747081716,15.103717964907538,57.0,"(3381.3684210526317, 1590.8070175438597)",0.5455709751878506
3772,2026.106299212599,17.033344433038533,18.0,"(3377.8333333333335, 1604.388888888889)",0.7389253357367693
3773,-2395.055999999997,nan,14.0,"(3378.9285714285716, 982.2857142857143)",0.5993109818373481
3774,1368.9961089494172,17.458994465611333,44.0,"(3381.75, 571.2954545454545)",0.6162136005392839
3775,1524.8671875,17.34191995185478,15.0,"(3379.266666666667, 757.3333333333334)",0.6957832454719807
3776,7275.556000000011,15.645334530423801,140.0,"(3385.7642857142855, 2087.0)",0.7718600698653508
3777,-7285.71875,nan,11.0,"(3382.818181818182, 918.2727272727273)",0.8601421015371872
3778,769.6377952755902,18.08428403292006,23.0,"(3384.086956521739, 2235.608695652174)",0.6132851333847328
