Galaxy,NetCounts,Brightness,Area,Coordinates,Eccentricity
2617,600.0239043824695,18.35457861848005,31.0,"(2443.064516129032, 2057.5806451612902)",0.6728665881972388
2618,783.0980392156853,18.06545965863221,35.0,"(2445.714285714286, 407.4)",0.754738523535214
2619,2154.777777777781,16.966493779954444,61.0,"(2445.2131147540986, 575.9016393442623)",0.55996242938304
2620,-37.05533596837995,nan,9.0,"(2442.5555555555557, 1884.3333333333333)",0.8454609500477417
2621,14807.913385826803,14.873765336287445,193.0,"(2454.1502590673576, 1904.1658031088082)",0.7416204532356356
2622,622.4863813229567,18.31467536391787,22.0,"(2444.909090909091, 2159.1363636363635)",0.5674435105706161
2623,1471.77689243028,17.380395049945637,28.0,"(2445.214285714286, 475.89285714285717)",0.8001840566746418
2624,1018.186046511626,17.78043214735819,19.0,"(2445.2105263157896, 1385.6842105263158)",0.8572531530493012
2625,259003.8656126482,11.766734385147121,686.0,"(2460.212827988338, 900.9752186588921)",0.6180687681960031
2626,1478.7846153846185,17.37523769070365,60.0,"(2448.483333333333, 1503.45)",0.5225215379748326
2627,-3206.14453125,nan,16.0,"(2447.875, 439.9375)",0.7389385073661091
2628,1553.4103585657358,17.321784507943185,55.0,"(2448.8, 813.1454545454545)",0.42392810095099315
2629,1393.1007751937977,17.44004366527974,16.0,"(2446.4375, 1703.75)",0.7998910330494148
2630,1492.8577075098729,17.364953963253217,91.0,"(2452.1428571428573, 619.3076923076923)",0.2983779344267379
2631,1254.1023622047214,17.554167535305616,49.0,"(2451.5714285714284, 2002.3469387755101)",0.5853515066305434
2632,54835.503999999986,13.452345401301656,261.0,"(2457.0268199233715, 1879.5555555555557)",0.4535614993910792
2633,-6184.984375,nan,13.0,"(2451.230769230769, 1366.5384615384614)",0.6532878565917547
2634,624.2325581395344,18.311633958883586,22.0,"(2453.590909090909, 2081.7727272727275)",0.7499313140220026
2635,-30839.230158730177,nan,132.0,"(2458.068181818182, 2125.590909090909)",0.8810784559671009
2636,846.1792828685284,17.98134402942513,34.0,"(2455.8823529411766, 1616.764705882353)",0.4908033992297917
2637,18836.136,14.612520456351014,236.0,"(2463.2754237288136, 1277.050847457627)",0.8237279585818783
2638,-9702.083333333336,nan,8.0,"(2456.125, 365.75)",0.918444254655195
2639,-6159.729411764703,nan,17.0,"(2456.529411764706, 1492.2941176470588)",0.8553271405924218
2640,1902.1359999999986,17.10189608713743,66.0,"(2459.9545454545455, 1944.3030303030303)",0.5232099909545408
2641,70.76190476190459,20.67550121327341,8.0,"(2456.375, 2112.0)",0.5153882032022076
2642,-3026.5476190476184,nan,15.0,"(2457.5333333333333, 1028.9333333333334)",0.6187163064389781
2643,921.3579766537005,17.888928999753627,35.0,"(2460.285714285714, 2202.6857142857143)",0.5367585616090198
2644,-3145.1042471042456,nan,8.0,"(2461.25, 141.625)",0.8599219148885188
2645,-9643.560000000056,nan,511.0,"(2471.0352250489236, 1590.4422700587083)",0.8250660382274347
2646,213.35384615384646,19.47724880914624,14.0,"(2462.5714285714284, 1815.5)",0.5668282410081202
2647,415.3709677419356,18.753909654132176,14.0,"(2463.714285714286, 743.0)",0.7861580187203344
2648,2707.574803149604,16.718548840314927,74.0,"(2467.4189189189187, 686.6081081081081)",0.5682917178680522
2649,842.4743083003959,17.98610833573651,32.0,"(2466.9375, 833.1875)",0.45206903680984456
2650,-3132.916996047432,nan,11.0,"(2465.6363636363635, 844.0909090909091)",0.6782020831819646
2651,3722.969230769231,16.372776382702984,81.0,"(2470.864197530864, 1494.0123456790122)",0.3910009006939223
2652,-13373.9609375,nan,60.0,"(2471.6833333333334, 365.3333333333333)",0.8870350674141665
2653,-16744.474103585657,nan,17.0,"(2472.0588235294117, 1977.4705882352941)",0.8569880785396927
2654,14482.302788844623,14.897905941864202,210.0,"(2479.2380952380954, 617.0857142857143)",0.6543792124691076
2655,-9259.301960784316,nan,25.0,"(2473.32, 1199.84)",0.7592629415500157
2656,327.3426294820747,19.01249358325255,19.0,"(2473.684210526316, 1851.0526315789473)",0.37455850359678605
2657,-2852.2578125,nan,26.0,"(2476.230769230769, 462.7307692307692)",0.668734560291834
2658,1683.6653543307111,17.23436056179697,54.0,"(2477.8518518518517, 804.6481481481482)",0.5332577889001441
2659,983.0833333333285,17.818524166577177,51.0,"(2477.705882352941, 43.07843137254902)",0.7348767794924931
2660,748.84375,18.11402197641827,25.0,"(2478.12, 1657.84)",0.3276704452529429
2661,46161.37450199203,13.639303170246976,110.0,"(2483.1181818181817, 1289.2272727272727)",0.7090431590627556
2662,-3303.07335907336,nan,8.0,"(2477.625, 1456.75)",0.7614164915114531
2663,2168.8616600790483,16.959420370979217,48.0,"(2481.2708333333335, 953.8541666666666)",0.6549924679968563
2664,-2916.1338582677163,nan,15.0,"(2480.4666666666667, 1205.7333333333333)",0.4918749455522821
2665,12876.615686274512,15.025495665015963,122.0,"(2487.1393442622953, 20.475409836065573)",0.7013013554973461
2666,5915.007874015748,15.870111682264973,98.0,"(2485.204081632653, 478.05102040816325)",0.502339420965292
2667,2132.450592885376,16.97780255571859,40.0,"(2483.45, 1132.125)",0.43217127343709166
2668,-33427.05147058823,nan,16.0,"(2485.3125, 0.6875)",0.9566191059909244
2669,934.0517928286863,17.87407260408198,33.0,"(2485.212121212121, 145.0909090909091)",0.7175781653367959
2670,921.0823529411791,17.88925384571037,17.0,"(2483.5882352941176, 785.4117647058823)",0.7101181633674242
2671,3132.3464566929106,16.560325520822822,41.0,"(2487.1951219512193, 52.048780487804876)",0.6482298121077172
2672,-6476.7027027027,nan,13.0,"(2485.769230769231, 538.3846153846154)",0.8276323786539834
2673,1991.13385826772,17.052248856520006,42.0,"(2489.7619047619046, 1467.1904761904761)",0.6529370776095351
2674,1014.1666666666642,17.7847266695439,44.0,"(2489.2045454545455, 1744.6818181818182)",0.37335430494279104
2675,250.90399999999863,19.301231037386255,17.0,"(2486.9411764705883, 1891.5882352941176)",0.7457707441063041
2676,2388.3647058823553,16.854748388100322,27.0,"(2489.777777777778, 1561.1851851851852)",0.6749587720143243
2677,5083.3333333333285,16.034628527592147,92.0,"(2493.6304347826085, 963.054347826087)",0.5305077545793868
2678,-5877.466926070039,nan,22.0,"(2490.5454545454545, 1137.409090909091)",0.579681447207728
2679,-6575.129032258061,nan,17.0,"(2491.294117647059, 1832.0)",0.8271202954614387
2680,410.9367588932837,18.765562521811965,27.0,"(2491.6296296296296, 1862.851851851852)",0.583106520848201
2681,875.6653696498033,17.944154563002094,40.0,"(2491.775, 1963.6)",0.2625574665176974
2682,-3922.1811023621995,nan,72.0,"(2492.8333333333335, 1041.8194444444443)",0.7651713172793132
2683,-1762.7647058823568,nan,29.0,"(2491.655172413793, 1409.8275862068965)",0.6385465779504629
2684,3972.9849056603707,16.302207712330674,95.0,"(2493.9578947368423, 2085.9894736842107)",0.47104062659322526
2685,1924.627906976748,17.089133053137807,55.0,"(2494.090909090909, 1787.8727272727272)",0.6586212707647251
2686,121.70270270270339,20.08674944276015,11.0,"(2492.5454545454545, 2150.5454545454545)",0.8418723975957206
2687,15528.09375,14.822204638957665,248.0,"(2499.467741935484, 439.78225806451616)",0.6644961555746669
2688,430.1692913385814,18.71590148997496,20.0,"(2493.15, 723.85)",0.7505017001730631
2689,-3210.131474103586,nan,12.0,"(2492.9166666666665, 1934.6666666666667)",0.8577611087183823
2690,-6468.25882352941,nan,14.0,"(2494.214285714286, 942.4285714285714)",0.8799103021530409
2691,-2709.363636363636,nan,12.0,"(2494.5833333333335, 299.9166666666667)",0.7542985553610388
2692,665.7529411764699,18.241717265625148,17.0,"(2494.5882352941176, 771.2941176470588)",0.6884101735260045
2693,3439.515873015873,16.458756704962248,81.0,"(2498.5925925925926, 1350.0740740740741)",0.585969653182528
2694,1536.6771653543328,17.33354340547274,41.0,"(2496.829268292683, 1575.4634146341464)",0.6342499926064158
2695,355.28685258964106,18.923552158263846,21.0,"(2497.0476190476193, 1707.7142857142858)",0.684537962060553
2696,12667.23076923078,15.043295793709273,166.0,"(2503.4337349397592, 1910.4698795180723)",0.6982581194773271
2697,-3123.320158102766,nan,11.0,"(2499.090909090909, 623.8181818181819)",0.35551351848814067
2698,-2935.3803921568615,nan,23.0,"(2501.7391304347825, 243.34782608695653)",0.5533389666979589
2699,-37743.296875,nan,69.0,"(2506.3478260869565, 1730.2898550724638)",0.9115420308190609
2700,54535.28030303039,13.458306125788127,468.0,"(2511.0299145299145, 2152.014957264957)",0.8733131292426702
2701,-6018.685039370088,nan,47.0,"(2505.31914893617, 486.5531914893617)",0.7059589899388488
